surface,velocity,target_angle,time,aruco_x,aruco_y,aruco_theta,x,y,theta,odom_x,odom_y,odom_theta,x_loc,y_loc,theta_loc,wheel_joint_fl,wheel_joint_fr,wheel_joint_bl,wheel_joint_br
linoleum,0.2,-3.0543261909900767,3.4000656604766846,-0.24577795808587635,-0.32630336642424945,-0.3175084539297469,-0.4292829976613159,-0.03853352446645997,-0.1148394637999412,-0.1246886808787645,0.18072509627902159,-0.10136016148508492,-0.5980312060018427,0.10279505596201242,0.001394353554365707,-0.061,-0.575,0.82,-0.061
linoleum,0.2,-3.0543261909900767,3.599980115890503,-0.288851628109565,-0.3281064146337294,-0.5606312093565271,-0.4723566676850045,-0.04033657267593993,-0.3579622192267214,-0.167954028597522,0.1874171069814336,-0.10124823145934107,-0.6412965537206002,0.10948706666442444,0.0015062835801095548,-0.127,-0.35,0.741,0.045
linoleum,0.2,-3.0543261909900767,3.799997329711914,-0.33141478675662067,-0.33033135829833704,-0.3191052226584265,-0.5149198263320602,-0.042561516340547556,-0.11643623252862079,-0.20729606642962312,0.19263603495479267,-0.10148048483172849,-0.6806385915527013,0.11470599463778351,0.0012740302077221405,-0.142,-0.161,0.641,-0.108
linoleum,0.2,-3.0543261909900767,4.000067710876465,-0.3777039712178036,-0.33177713231258465,0.2903472911811577,-0.5612090107932431,-0.04400729035479517,0.4930162813109634,-0.24396796319730188,0.1972182091696862,-0.10141052957816228,-0.7173104883203801,0.11928816885267703,0.0013439854612883467,-0.178,-0.28,0.678,0.101
linoleum,0.2,-3.0543261909900767,4.200016021728516,-0.41248942881874395,-0.32816396592495306,0.7130789261081738,-0.5959944683941835,-0.040394123967163575,0.9157479162379796,-0.286992341547841,0.20210328186885793,-0.10108686341689133,-0.7603348666709192,0.12417324155184876,0.0016676516225593019,0.012,-0.453,0.654,0.0
linoleum,0.2,-3.0543261909900767,4.809548377990723,-0.4550303858071131,-0.3297344312210882,-0.36856102478879077,-0.6385354253825526,-0.04196458926329871,-0.16589203465898505,-0.31289546842586946,0.20551019704868081,-0.10055143828365802,-0.7862379935489476,0.12758015673167167,0.0022030767557926073,-0.144,-0.541,0.646,0.012
linoleum,0.2,0.17453292519943295,0.19991588592529297,-0.7044542186323701,-0.3315008652640673,-0.3739896719900861,-0.012701311757694844,-0.006630298067545226,-0.7684081386096302,-0.35656652009349654,0.20976116219516072,-0.10059528081118567,0.0,0.0,0.0,-0.219,-0.23,0.356,0.124
linoleum,0.2,0.17453292519943295,0.39997076988220215,-0.6943451598701428,-0.32700847124009974,-0.40556962498104215,-0.0025922529954675033,-0.0021379040435776653,-0.7999880916005864,-0.34372871080764633,0.2083289405956816,-0.10043856619758607,0.01283780928585021,-0.0014322215994791165,0.00015671461359960392,-0.339,0.773,-0.702,0.163
linoleum,0.2,0.17453292519943295,0.6000187397003174,-0.6917529068746753,-0.3248705671965221,0.39441846661954416,0.0,0.0,0.0,-0.30652457275019845,0.2019939374811303,-0.1003490138707554,0.05004194734329809,-0.007767224714030435,0.0002462669404302703,-0.04,0.46,-0.334,-0.024
linoleum,0.2,0.17453292519943295,0.7999637126922607,-0.6970895808903906,-0.32678289228210233,-0.3930054210697161,-0.005336674015715359,-0.0019123250855802576,-0.7874238876892603,-0.2678681722493516,0.1958423149942987,-0.10062699656040298,0.08869834784414493,-0.013918847200862033,-3.171574921731479e-05,0.015,0.671,-0.547,-0.191
